"","longitude","latitude","year","month","day","dataname"
"160",-110.287096,31.407102,2017,8,26,"gbif_filtered"
"161",-110.247623,31.42042,2017,8,25,"gbif_filtered"
"162",-110.981741,32.339288,2017,9,9,"gbif_filtered"
"163",-110.981741,32.339288,2017,9,16,"gbif_filtered"
"164",-110.981741,32.339288,2017,9,23,"gbif_filtered"
"165",-110.981741,32.339288,2017,9,30,"gbif_filtered"
"166",-110.876362,31.714887,2017,9,13,"gbif_filtered"
"167",-110.874774,31.711182,2017,9,13,"gbif_filtered"
"168",-110.981741,32.339288,2017,9,2,"gbif_filtered"
"169",-111.746407,34.988062,2017,9,11,"gbif_filtered"
"170",-112.148588,34.708086,2017,9,10,"gbif_filtered"
"171",-110.291041,31.432343,2017,9,14,"gbif_filtered"
"172",-110.761184,31.538829,2017,9,15,"gbif_filtered"
"173",-111.156921,33.281377,2017,9,12,"gbif_filtered"
"174",-110.981741,32.339288,2017,10,7,"gbif_filtered"
"175",-110.981741,32.339288,2017,10,21,"gbif_filtered"
"176",-110.981741,32.339288,2017,10,29,"gbif_filtered"
"177",-110.981741,32.339288,2017,11,11,"gbif_filtered"
"178",-110.981741,32.339288,2017,11,4,"gbif_filtered"
"179",-110.981741,32.339288,2017,11,18,"gbif_filtered"
"180",-110.981741,32.339288,2017,11,25,"gbif_filtered"
"181",-110.981741,32.339288,2017,12,26,"gbif_filtered"
"182",-110.981741,32.339288,2017,12,23,"gbif_filtered"
"183",-110.981741,32.339288,2017,12,9,"gbif_filtered"
"184",-110.97856,31.886886,2017,12,6,"gbif_filtered"
"185",-110.981741,32.339288,2017,12,2,"gbif_filtered"
"186",-110.981741,32.339288,2016,1,23,"gbif_filtered"
"187",-110.981741,32.339288,2016,1,30,"gbif_filtered"
"188",-110.981741,32.339288,2016,2,6,"gbif_filtered"
"189",-110.981741,32.339288,2016,5,14,"gbif_filtered"
"190",-110.981741,32.339288,2016,5,21,"gbif_filtered"
"191",-111.489617,35.245041,2016,6,10,"gbif_filtered"
